tweet_id,tweet_username,tweet_text,id
859976287397572608,PEPEU40,"O BRASIL DE TEMER"" Reforma da previdência Terceirização trabalhadores Essa frase tem efeito autoritário. Facebook Carlos Alves íntegra pic.twitter.com/he7t4t332p""",
859972000831459332,elimalves73,Somos contra a reforma da previdência tbm contra reforma trabalhista contra terceirização tbm ! Vcs não representam o povo !,
859955443568959494,GBraga2022,"terceirização , reforma dá previdência - relatório da comissão , reforma trabalhista (tá perto tb), fuder o Brasileiro",
859926841309745152,vi_augusto,"Só observando o silêncio quanto à reforma da previdência , trabalhista , terceirização ... importante é dramatizar... http:// fb.me/1tYug49ko",
859915475173638146,neloli8356,"a reforma da previdência não é para diminuir o prejuízo do governo, é para os empresários deixarem de recolher inss com a terceirização .",
859914700867416064,qperspectiva,Sabe a reforma da previdência ? Sabe a reforma trabalhista? Sabe a lei de terceirização ? O Renan é contra. Achei que vc deveria saber.,
859902849953746945,fabiopitombeira,AntiCast 281 – Reforma da Previdência e Terceirização de AntiCast https:// soundcloud.com/anticastdesign /anticast-281-reforma-da-previdencia-e-terceirizacao …,
859902398965444608,patrickataliba,"Reforma Trabalhista, Reforma da Previdência , Terceirização , Universidade pública - paga e mais um montão de... http:// fb.me/1ihz5iPkn",
859897527944056834,FeRap13,Reforma da Previdência ? Ok! Terceirização ? Ok! Presos (Políticos e Ricos) sendo solto? Ok! Qualquer desgraça com... http:// fb.me/1qUxjXdIR,
859825594024038400,mlsEJA,"Dentre as medidas: retirar de pauta a reforma da Previdência , a reforma trabalhista e revogar a lei da terceirização http://www. valor.com.br/politica/49473 32/pt-apresenta-pacote-de-seis-medidas-emergenciais-para-economia …",
859762243717693440,benevides_cris,@jairbolsonaro @PSOLOficial @prosnacional Dilma e Lula apoiam a terceirização e a Reforma da Previdencia http://www. youtube.com.ln.is/2PKLz,
859761565788233728,benevides_cris,@Rede45 @partidoverde @pps23 Dilma e Lula apoiam a terceirização e a Reforma da previdencia http:// ln.is/www.youtube.co m/ufAfq …,
859761095220883457,benevides_cris,@PMDB_Nacional @PCdoB_Oficial @ptb14 Dilma e Lula apoiam a terceirização e a Reforma da previdencia http:// ln.is/www.youtube.co m/fciOP …,
859736509267800064,maysabruna,"Precisando de especialistas nos assuntos de: Terceirização , reforma da previdência e reforma trabalhista para um seminário na faculdade. RT",
859661597266120704,anamari64884245,Todos os estados e o DF têm protestos contra reforma da Previdência e terceirização http:// g1.globo.com/politica/notic ia/cidades-tem-protestos-contra-reforma-da-previdencia-e-terceirizacao.ghtml?utm_source=twitter&utm_medium=share-bar-desktop&utm_campaign=share-bar …,
859566922249252864,caarlos_freitas,"Lei das Teles, a favor da Terceirização , apoiou a Reforma Trabalhista e delatado na Lava Jato. Se for mesmo can... http:// ow.ly/PjJS50beIDl",
859545001000415234,delucca,"Aliás, depois da terceirização e da Reforma Trabalhista, não falta muita lei trabalhista pra ser revogada além da Lei Áurea, né?",
859536300743036928,becss,"Quando você tá de boa com seu love"" na praia e lembra da reforma da previdência e da lei da terceirização pic.twitter.com/038nCGotwR""",
859514534729576448,luky_reis,O mais gostoso foi ver o meu patrão defendendo a terceirização e a reforma dá previdência,
859501184918462464,elimalves73,"veta lei de terceirização , veta reforma trabalhista e veta reforma da previdencia ! Veta reforma da educação, veta limite de gastos !",
859446200499671042,GaabiSoul,é inegável a necessidade da regulamentação da terceirização e a reforma da previdência .Mas não pelos moldes proposto por Temer,
859414531205808128,EnfermagSaude,"Coren-MA realiza audiência sobre a Reforma da Previdência , Terceirização e seus impactos na Enfermagem http:// dlvr.it/P2hj5L",
859388150266941441,Batista1Renato,Esse é o PT e seus mandados. Defenderam a terceirização e a reforma da previdência quando estavam no poder. Agora instigam a baderna contra. https:// twitter.com/SimoneRJ_BR/st atus/859065007002267648 …,
859348942697488384,Giannigcf,"Dilmandioca defendendo a terceirização e reforma da previdência , a 2 caras (1+ feia q a outra) acabando com o mimimi, petista vai falar o q? pic.twitter.com/WGMvsAR0l0",
859344140823396352,keepyoureyesout,PT já deu apoio a terceirização e reforma da Previdência http:// ln.is/www.youtube.co m/urIzW … via @YouTube,
859250578244997120,HebertyLeal,"PT já deu apoio a terceirização e reforma da Previdência , prova da hipocrisia. http://www. youtube.com.ln.is/hCjCL via @YouTube",
859213367311044610,pullitzer,#SeLIGAê ! @alexandregarcia – Injustiça com Lula e Dilma atribuir reforma da Previdência e da CLT e lei terceirização a Temer,
859193826484908032,DenilsonEvange,PT defendendo terceirizaçao e reforma da previdencia . https:// twitter.com/SimoneRJ_BR/st atus/859065007002267648 …,
859184630397849601,LeonardoGSaade,Dilma defendendo a terceirização e a reforma da previdência quando era presidenta. Esses golpistas... pic.twitter.com/gnvmUAXzu3,
859169242276605952,alexandregarcia,Injustiça com Lula e Dilma atribuir reforma da Previdência e da CLT e lei terceirização a Temer.Hj na @eldoradoradio https://www. mixcloud.com/alexadregarcia /alexandre-garcia-010517/ …,
859162163000352772,Fe_Pinheiro23,Dilma em rede nacional defende a terceirização e a reforma da previdência . http:// fb.me/39zFViUid,
859159513370329090,adersoncaldas,A própria Dilma e o PT quando eram governo apoiaram a terceirização e a reforma da previdência . Meu tuíte anterior tem o link do vídeo,
859154675303686147,TRCezzar,"Reforma trabalhista, terceirização , reforma do ensino médio (aprovada) , reforma da previdência (aposentadoria com 49 anos trabalhando.)",
859135904245579776,w4gn3rmiranda,De quem é mesmo o projeto da Reforma da Previdência e Trabalhista(Leia-se: Terceirização )? http:// fb.me/1QFNkaEYZ,
859117148341497857,mirelealvez,Feliz dia do...pera ae! 14.200.00 desempregados; Terceirização irrestrita; Destruição da CLT; Reforma da Previdência ...,
859110394383794176,FRANCISCOPAZ58,"Da maldita terceirização , da praga da reforma da previdência , livrai-nos, Senhor!",
859106579869814786,jaquesvinicius,"Temos que lembrar que reforma trabalhista, reforma da previdência e terceirização foram todas apresentadas no governo do PT, e aonde que...",
859104264467218433,Luana_Keane,"o real problema não é a reforma da previdência (que é necessária mas precisa ser pensada), é a terceirização e as mudanças da CLT",
859103270975025153,paulodiovani,To ficando deprimido ouvindo esse anticast. AntiCast 281 – Reforma da Previdência e Terceirização https:// soundcloud.com/anticastdesign /anticast-281-reforma-da-previdencia-e-terceirizacao …,
859101503755354113,VITORONOFRE,PT já deu apoio a terceirização e reforma da Previdência http:// fb.me/88ze0Hk6c,
859100194151026688,celsodutra22,PT já deu apoio a terceirização e reforma da Previdência https:// youtu.be/VKHCeBUzhK0 via @YouTube,
859080826792759297,silvahiga,Retweeted Simone ( @SimoneRJ_BR ): DILMA E O PT DEFENDERAM NA TV A TERCEIRIZAÇÃO E A REFORMA DA PREVIDÊNCIA EM... http:// fb.me/23vvYSZUW,
859065007002267648,SimoneRJ_BR,DILMA E O PT DEFENDERAM NA TV A TERCEIRIZAÇÃO E A REFORMA DA PREVIDÊNCIA EM 1/5/15.AGORA NA OPOSIÇÃO INCITAM A POPULAÇÃO AFAZER GREVE CONTRA pic.twitter.com/zF2UssE1IA,
859058949080961024,VlamirDiniz,PT já deu apoio a terceirização e reforma da Previdência https:// youtu.be/VKHCeBUzhK0 via @YouTube,
859054250093105152,GuilhermeSchelb,PT já deu apoio a terceirização e reforma da Previdência https:// youtu.be/VKHCeBUzhK0 via @YouTube,
859052784653656065,andreh08,14 milhões de desempregados Reforma trabalhista Reforma da Previdência Terceirização Temos mais coisas para lutar do que comemorar,
859052621604245505,ConceicaoChiari,"No dia primeiro de Maio de 2015, @dilmabr e o PT defenderam em Rede Nacional de TV a Terceirização e a Reforma da Previdência .",
859046150627708928,AnymoreVN,Que sapo? Que ele votou a favor da Terceirização e da Reforma da Previdência ? Mas tinha que votar mesmo cara,
859043974513905664,talitapolaca,"Tirando a terceirização em massa, de resto OK. Agora a reforma dá previdência é foda, pq o rombo é de roubo e não pq o país gasta demais.",
