tweet_id,tweet_username,tweet_text,id
911385625487712258,apyus,"Em 2005, Lula defendia que a Venezuela tinha democracia em excesso"" https:// buff.ly/2fozoY5""",
911385598820315141,caranovanocongr,@PMDB @PSDB @PP @PDT @DEM @PSB @PSC @PR @SenadoFederal @CamaraDeputados @renancalheiros @DepRodrigoMaia @romerojuca pic.twitter.com/Rj6N0cyI3T,
911385341545893889,lojacharmingart,"Gostei de um vídeo @YouTube http:// youtu.be/uszJO5XpyN4?a#BOMBA … !!! A ORIGEM DO NOME IOLANDA USADO POR DILMA, COMPANHEIRA DO LULA .",
911384769149100033,AugustoAntunes8,"MORO GANHA MAIS UMA, E DEFESA DE LULA DESESPERADA VAI AO PLENO STJ TENTA... https:// youtu.be/EI_Jy6Ccc2c via @YouTube",
911384418606034944,LuizFDSouza2,"Maduro, Lula e Correa juntos contra a democracia.",
911384095560798210,Marcel03858045,Já tá na cachaça em Lula ..,
911383588251357185,ceciliapdb,@MichelTemer PRESIDENTE!! ENTREGAR UMA USINA POR UMA TROCA?. ESTÁ PIOR QUE O LULA ..,
911382396666335232,caio_rivas,E o Lula de jatinho né,
911381630039871488,Ezequiasns,Tribunal nega a Okamotto anulação do processo que condenou Lula http:// politica.estadao.com.br/blogs/fausto-m acedo/tribunal-nega-a-okamotto-anulacao-do-processo-que-condenou-lula/ … Via @estadao,
911381552789164033,deigmar,"Para salvar candidatura, Lula antecipa caravana ao sul https:// goo.gl/fb/WBoSJu",
911381219321008130,fe2wdf,"O que esta acontecendo, todos sabem que o Lula roubou e roubou, porque esta sendo protegido por tantos incluindo R. globo??????????????",
911379532447469574,FredSteca,“Fora Temer” é pros fracos... quero ver gritar “ Lula na Prisão”,
911379232290426880,corretormariano,A da lula é ótima,
911378712767188993,mamedebr,Lula é vítima @brunovdsantos concorda Temer é vítima @brunovdsantos discorda,
911375512592949248,BattistaTania,"Exatamente. Se fosse outro Ministro certeza q Lula teria assumido, acharia qualquer brecha p/ deixá-lo assumir o cargo.",
911375471396495360,helleng54,Documentos que Durán apresenta que sugerem falsificação de prova contra Lula na Lava Jato https:// falandoverdades.com.br/2017/09/22/doc umentos-que-sugerem-falsificacao-de-provas-contra-lula/#.WcWgJ2kuQDY.twitter …,
